id,content,options,answer,chapter,topic,skills,level,source,explaine,suggest
PHY8_061,"Tại sao về mùa đông, khi chạm tay vào thanh sắt ta thấy lạnh hơn chạm vào thanh gỗ?",A. Sắt có nhiệt độ thấp hơn; B. Sắt dẫn nhiệt tốt hơn nên lấy nhiệt từ tay nhanh hơn; C. Gỗ có nhiều nhiệt lượng hơn; D. Sắt là vật tự phát lạnh,B,Chương 6,Bài 27: Truyền nhiệt,Các hình thức truyền nhiệt,Vận dụng,SBT-Tr75,"Sắt dẫn nhiệt tốt, truyền nhiệt từ tay vào sắt nhanh hơn nên ta cảm thấy lạnh.",Hiểu rằng cảm giác nóng/lạnh phụ thuộc vào tốc độ truyền nhiệt từ tay ra ngoài.
PHY8_062,Năng lượng từ Mặt Trời truyền đến Trái Đất chủ yếu bằng hình thức nào?,A. Dẫn nhiệt; B. Đối lưu; C. Bức xạ nhiệt; D. Cả 3 hình thức,C,Chương 6,Bài 27: Truyền nhiệt,Các hình thức truyền nhiệt,Thông hiểu,SGK-Tr119,"Giữa Mặt Trời và Trái Đất là chân không, chỉ có bức xạ nhiệt mới đi qua được.",Nhớ rằng dẫn nhiệt và đối lưu cần môi trường vật chất (phân tử).
PHY8_063,Chất nào sau đây dẫn nhiệt tốt nhất?,A. Thủy tinh; B. Bạc (kim loại); C. Không khí; D. Nước,B,Chương 6,Bài 27: Truyền nhiệt,Các hình thức truyền nhiệt,Nhận biết,SBT-Tr74,"Kim loại (đặc biệt là Bạc, Đồng, Nhôm) là những chất dẫn nhiệt tốt nhất.",Nhìn vào các dụng cụ nấu ăn: chúng thường làm bằng kim loại để dẫn nhiệt nhanh.
PHY8_064,Tại sao muốn đun nóng chất lỏng và chất khí phải đun từ phía dưới?,A. Để tiết kiệm củi lửa; B. Để tạo ra dòng đối lưu; C. Để nhiệt truyền nhanh hơn theo đường thẳng; D. Để chất lỏng không bị bay hơi,B,Chương 6,Bài 27: Truyền nhiệt,Các hình thức truyền nhiệt,Thông hiểu,SGK-Tr118,"Lớp chất lỏng ở dưới nóng lên, nở ra, nhẹ đi và đi lên, tạo dòng đối lưu.","Nếu đun từ trên, lớp nước nóng ở trên sẽ đứng yên, nước ở dưới rất lâu sôi."
PHY8_065,Một vật có khả năng hấp thụ bức xạ nhiệt tốt khi bề mặt của nó có đặc điểm?,A. Nhẵn và sáng màu; B. Sần sùi và tối màu; C. Nhẵn và tối màu; D. Sần sùi và sáng màu,B,Chương 6,Bài 27: Truyền nhiệt,Các hình thức truyền nhiệt,Thông hiểu,SGK-Tr119,Màu tối và sần sùi giúp giữ lại nhiệt lượng từ ánh sáng tốt hơn màu sáng.,Tại sao mùa hè nên mặc áo trắng? Vì áo trắng phản xạ bức xạ nhiệt tốt hơn.
PHY8_066,Khi xoa hai bàn tay vào nhau ta thấy tay nóng lên. Trong trường hợp này nội năng của tay thay đổi do?,A. Truyền nhiệt; B. Thực hiện công; C. Bức xạ nhiệt; D. Tự nhiên nóng lên,B,Chương 6,Bài 26: Năng lượng nhiệt,Nhiệt năng & Nội năng,Thông hiểu,SBT-Tr72,"Có sự tác động lực và di chuyển (cọ xát), đó là thực hiện công.","Phân biệt: Không có nguồn nhiệt nào chạm vào tay, nhiệt sinh ra từ ma sát."
PHY8_067,Chân không có thể truyền nhiệt bằng hình thức nào?,A. Dẫn nhiệt; B. Đối lưu; C. Bức xạ nhiệt; D. Không thể truyền nhiệt,C,Chương 6,Bài 27: Truyền nhiệt,Các hình thức truyền nhiệt,Nhận biết,SGK-Tr120,"Bức xạ nhiệt truyền đi dưới dạng sóng điện từ, không cần phân tử môi trường.","Đọc mục ""Bức xạ nhiệt"" tại Bài 27 SGK trang 119."
PHY8_068,Tại sao quả bóng bàn bị bẹp nhúng vào nước nóng lại phồng lên như cũ?,A. Vỏ bóng gặp nóng nở ra; B. Không khí trong bóng gặp nóng nở ra gây áp suất đẩy vỏ bóng; C. Nước chui vào trong bóng; D. Nước nóng làm mềm vỏ bóng,B,Chương 6,Bài 26: Năng lượng nhiệt,Sự nở vì nhiệt,Vận dụng,SBT-Tr73,"Không khí bên trong nóng lên, nở ra và tạo áp lực đẩy vỏ bóng phồng lại.",Ôn lại sự nở vì nhiệt của chất khí tại Bài 26 SGK trang 114.
PHY8_069,Đơn vị của nội năng và nhiệt lượng là?,A. Độ C (∘C); B. Joule (J); C. Calo; D. Cả B và C,D,Chương 6,Bài 26: Năng lượng nhiệt,Nhiệt năng & Nội năng,Nhận biết,SGK-Tr113,"Joule (J) là đơn vị chuẩn quốc tế, Calo thường dùng trong thực phẩm/nhiệt lượng.","Ghi nhớ: 1cal≈4,186J."
PHY8_070,Tại sao các phích nước (bình thủy) lại có lớp vỏ thủy tinh tráng bạc và ở giữa là chân không?,"A. Để cho đẹp; B. Để ngăn chặn cả 3 hình thức truyền nhiệt, giữ nước nóng lâu; C. Để bình nhẹ hơn; D. Để bình bền hơn",B,Chương 6,Bài 27: Truyền nhiệt,Các hình thức truyền nhiệt,Vận dụng cao,SGK-Tr120,"Chân không ngăn dẫn nhiệt/đối lưu, lớp bạc ngăn bức xạ nhiệt.",
PHY8_071,Sự truyền nhiệt xảy ra giữa hai vật khi nào?,A. Khi chúng có nội năng khác nhau; B. Khi chúng có khối lượng khác nhau; C. Khi chúng có nhiệt độ khác nhau; D. Khi chúng có kích thước khác nhau,C,Chương 6,Bài 27: Truyền nhiệt,Các hình thức truyền nhiệt,Nhận biết,SGK-Tr115,Nhiệt luôn tự truyền từ vật có nhiệt độ cao sang vật có nhiệt độ thấp.,Tránh nhầm: Vật nhiều nhiệt lượng hơn chưa chắc đã có nhiệt độ cao hơn.
PHY8_072,Khi một vật tỏa nhiệt thì?,A. Nhiệt độ của vật tăng; B. Nội năng của vật giảm; C. Các phân tử cấu tạo vật chuyển động nhanh lên; D. Khối lượng vật giảm,B,Chương 6,Bài 26: Năng lượng nhiệt,Nhiệt năng & Nội năng,Thông hiểu,SBT-Tr72,"Tỏa nhiệt làm mất năng lượng nhiệt, dẫn đến nội năng của vật giảm xuống.","Liên hệ: Khi bạn rót nước nóng ra cốc, nước tỏa nhiệt và nguội đi (nội năng giảm)."
PHY8_073,"Các chất rắn, lỏng, khí đều có đặc điểm chung về nhiệt là?",A. Co lại khi nóng lên; B. Nở ra khi nóng lên; C. Khối lượng thay đổi khi nóng lên; D. Dẫn nhiệt tốt như nhau,B,Chương 6,Bài 26: Năng lượng nhiệt,Sự nở vì nhiệt,Nhận biết,SGK-Tr114,Đây là tính chất vật lý cơ bản: Hầu hết các chất đều nở ra khi nóng lên.,Ngoại lệ: Nước nở ra khi lạnh đi từ 4∘C xuống 0∘C (điểm cần lưu ý).
PHY8_074,Hiện tượng sấm sét trong tự nhiên liên quan đến kiến thức nào?,A. Sự truyền nhiệt; B. Sự nhiễm điện do cọ xát giữa các đám mây; C. Lực đẩy Archimedes; D. Áp suất khí quyển,B,Chương 4,Bài 20: Hiện tượng nhiễm điện,Hiện tượng nhiễm điện,Thông hiểu,Tự biên,Các hạt băng/nước trong mây cọ xát mạnh tạo ra lượng điện tích khổng lồ.,"Tìm hiểu về ""Tĩnh điện"" trong tự nhiên để hiểu cơ chế phóng điện của sấm sét."
PHY8_075,"Một chiếc thìa nhúng trong cốc nước nóng, cán thìa dần nóng lên. Đây là kết quả của?",A. Dẫn nhiệt; B. Đối lưu; C. Bức xạ nhiệt; D. Sự bay hơi,A,Chương 6,Bài 27: Truyền nhiệt,Các hình thức truyền nhiệt,Nhận biết,SGK-Tr116,Nhiệt truyền từ phân tử này sang phân tử khác dọc theo thân thìa.,
PHY8_076,Một quả cầu nhôm và một quả cầu sắt có cùng thể tích nhúng chìm trong nước. So sánh lực đẩy Archimedes?,A. FAl​>FFe​; B. FAl​<FFe​; C. FAl​=FFe​; D. Không so sánh được,C,Chương 3,Bài 18: Lực đẩy Archimedes,Lực đẩy Archimedes,Thông hiểu,SBT-Tr50,"Vì cả hai có cùng thể tích (V) và cùng nhúng trong nước (d), nên theo công thức FA​=d.V, lực đẩy là như nhau.",Đừng để khối lượng riêng của vật làm bạn rối. Lực đẩy Archimedes chỉ phụ thuộc vào dlỏng​ và Vvật​.
PHY8_077,"Tại sao khi lặn xuống hồ nước ngọt, ta thấy ""nhẹ"" hơn khi ở trên cạn?",A. Do nước không có trọng lực; B. Do lực đẩy Archimedes của nước hướng lên; C. Do nước ấm; D. Do áp suất khí quyển giảm,B,Chương 3,Bài 18: Lực đẩy Archimedes,Lực đẩy Archimedes,Thông hiểu,SGK-Tr78,"Lực đẩy Archimedes hướng lên trên đã triệt tiêu một phần trọng lượng hướng xuống, khiến ta cảm giác nhẹ hơn.",Hãy nhớ lực đẩy Archimedes luôn ngược chiều với trọng lực.
PHY8_078,"Nếu thả một quả cầu bằng sắt vào một chậu thủy ngân thì quả cầu sẽ? (dFe​=78000N/m3,dHg​=136000N/m3)",A. Chìm hoàn toàn; B. Nổi một phần; C. Lơ lửng; D. Chìm một nửa,B,Chương 3,Bài 18: Lực đẩy Archimedes,Lực đẩy Archimedes,Vận dụng,SBT-Tr51,Do trọng lượng riêng của sắt nhỏ hơn thủy ngân nên vật nổi trên mặt thoáng.,"So sánh dvật​ và dlỏng​. Nếu dvật​<dlỏng​, vật chắc chắn nổi."
PHY8_079,"Muốn kiểm tra một chiếc nhẫn có phải vàng nguyên chất không bằng phương pháp vật lý, ta nên đo đại lượng nào?",A. Khối lượng; B. Thể tích; C. Khối lượng riêng; D. Trọng lượng,C,Chương 3,Bài 13: Khối lượng riêng,Khối lượng riêng,Vận dụng,SGK-Tr62,Mỗi chất có một khối lượng riêng đặc trưng. Đối chiếu KLR đo được với bảng chuẩn sẽ biết độ nguyên chất.,Xem lại ứng dụng của khối lượng riêng trong việc nhận biết chất tại Bài 13.
PHY8_080,Tại sao các bồn chứa xăng dầu thường được sơn màu trắng bạc sáng loáng?,A. Để chống gỉ; B. Để hạn chế hấp thụ bức xạ nhiệt từ mặt trời; C. Để dễ lau chùi; D. Để nhận biết từ xa,B,Chương 6,Bài 27: Truyền nhiệt,Các hình thức truyền nhiệt,Vận dụng,SBT-Tr75,"Màu sáng và bóng phản xạ tốt bức xạ nhiệt từ Mặt Trời, giúp xăng dầu bên trong không bị quá nóng.",Ôn lại tính chất hấp thụ và phản xạ nhiệt của màu sắc tại Bài 27.
PHY8_081,"Một miếng đồng có khối lượng 445g, thể tích 50cm3. Khối lượng riêng của đồng là?","A. 8,9g/cm3; B. 8900kg/m3; C. 0,11g/cm3; D. Cả A và B đều đúng",D,Chương 3,Bài 13: Khối lượng riêng,Khối lượng riêng,Vận dụng,Tự biên,"D=445/50=8,9g/cm3. Đổi ra kg/m3 bằng cách nhân 1000 ta được 8900kg/m3.",Cẩn thận với đơn vị! 1g/cm3=1000kg/m3.
PHY8_082,Vì sao các tấm tôn lợp mái nhà thường có dạng lượn sóng?,A. Để đẹp; B. Để thoát nước nhanh; C. Để tấm tôn co giãn vì nhiệt dễ dàng mà không làm hỏng mái; D. Để tăng độ dày,C,Chương 6,Bài 26: Năng lượng nhiệt,Sự nở vì nhiệt,Vận dụng,SGK-Tr114,"Dạng sóng giúp tôn có không gian để giãn nở khi trời nóng mà không bị cong vênh, làm bật đinh vít.","Tìm hiểu các ví dụ về ""giãn nở vì nhiệt bị ngăn cản"" tại Bài 26."
PHY8_083,"Trong các cách sau, cách nào làm thay đổi nội năng bằng phương pháp truyền nhiệt?",A. Cọ xát đồng xu lên mặt bàn; B. Thả đồng xu vào cốc nước nóng; C. Dùng búa đập vào đồng xu; D. Uốn cong đồng xu,B,Chương 6,Bài 26: Năng lượng nhiệt,Nhiệt năng & Nội năng,Thông hiểu,SGK-Tr113,"Thả vào nước nóng là sự tiếp xúc giữa hai vật có nhiệt độ khác nhau (truyền nhiệt), các cách khác là thực hiện công.","Phân biệt: Có tác động lực (cọ xát, đập) là Thực hiện công; chỉ có sự chênh lệch nhiệt độ là Truyền nhiệt."
PHY8_084,Tại sao khi rót nước sôi vào cốc thủy tinh dày thì cốc dễ vỡ hơn cốc mỏng?,"A. Cốc dày nặng hơn; B. Lớp thủy tinh bên trong nở ra trước, bên ngoài chưa kịp nở gây lực căng; C. Thủy tinh dày chịu nhiệt kém; D. Nước sôi bốc hơi mạnh",B,Chương 6,Bài 26: Năng lượng nhiệt,Sự nở vì nhiệt,Vận dụng cao,SBT-Tr73,"Thủy tinh dẫn nhiệt kém, lớp trong nở ra nhưng nhiệt chưa kịp truyền ra ngoài để lớp ngoài nở theo, gây sức căng lớn.","Để tránh vỡ, nên dùng cốc mỏng hoặc tráng nước ấm vào cốc trước khi rót nước sôi."
PHY8_085,"Một xe tải có 6 bánh, mỗi bánh tiếp xúc đất 0,02m2. Tổng áp lực là 60000 N. Áp suất lên mặt đất là?",A. 500000 Pa; B. 3000000 Pa; C. 10000 Pa; D. 60000 Pa,A,Chương 3,Bài 15: Áp suất trên bề mặt,Áp lực & Áp suất,Vận dụng,Tự biên,"Tổng diện tích S=6×0,02=0,12m2. Áp suất p=60000/0,12=500000Pa.",Lỗi hay gặp: Chỉ chia cho diện tích của một bánh xe thay vì tổng tất cả các bánh.
PHY8_086,"Để chống sét cho các tòa nhà cao tầng, người ta lắp thiết bị nào?",A. Cầu chì; B. Cột thu lôi; C. Chuông điện; D. Nguồn điện,B,Chương 4,Bài 20: Hiện tượng nhiễm điện,Hiện tượng nhiễm điện,Thông hiểu,SGK-Tr88,Cột thu lôi tập trung điện tích và dẫn dòng điện xuống đất một cách an toàn.,"Đọc thêm về hiện tượng ""phóng điện trong không khí"" để hiểu về sấm sét."
PHY8_087,Tại sao dùng máy sấy tóc sấy vào quần áo ướt thì quần áo nhanh khô?,A. Do máy sấy hút nước; B. Do nhiệt độ cao làm phân tử nước chuyển động nhanh và thoát ra; C. Do gió mạnh; D. Cả B và C,D,Chương 6,Bài 26: Năng lượng nhiệt,Nhiệt năng & Nội năng,Vận dụng,Tự biên,"Nhiệt làm phân tử nước chuyển động nhanh (nội năng tăng), gió giúp hơi nước thoát đi nhanh hơn.","Sự bay hơi phụ thuộc vào 3 yếu tố: Nhiệt độ, gió và diện tích mặt thoáng."
PHY8_088,"Trong một mạch điện, nếu tháo bỏ một bóng đèn trong mạch nối tiếp thì đèn còn lại sẽ?",A. Sáng hơn; B. Sáng yếu đi; C. Không sáng; D. Vẫn sáng bình thường,C,Chương 4,Bài 21: Mạch điện,Dòng điện & Nguồn điện,Thông hiểu,SBT-Tr59,"Mạch nối tiếp cần sự liên tục. Tháo 1 đèn làm mạch bị hở, dòng điện không thể chạy qua.",Ghi nhớ đặc điểm mạch nối tiếp: Một thiết bị hỏng thì cả mạch ngừng hoạt động.
PHY8_089,Vì sao sáp nến chảy lỏng khi bị đốt nóng?,"A. Do nến bị hỏng; B. Do nhiệt độ tăng làm tăng nội năng, phá vỡ liên kết phân tử; C. Do nến nhẹ đi; D. Do áp suất khí quyển",B,Chương 6,Bài 26: Năng lượng nhiệt,Nhiệt năng & Nội năng,Thông hiểu,SGK-Tr113,"Nhiệt năng cung cấp làm các phân tử chuyển động mạnh hơn, phá vỡ cấu trúc rắn sang lỏng.",Đây là hiện tượng chuyển thể do thay đổi nội năng.
PHY8_090,Đồ vật nào sau đây hoạt động dựa trên tác dụng nhiệt của dòng điện?,A. Quạt điện; B. Bàn là điện; C. Chuông điện; D. Máy bơm nước,B,Chương 4,Bài 21: Dòng điện,Dòng điện & Nguồn điện,Nhận biết,SGK-Tr92,Bàn là điện biến đổi điện năng hoàn toàn thành nhiệt năng để làm nóng bề mặt.,"Phân biệt tác dụng Nhiệt, tác dụng Từ (chuông điện) và tác dụng Cơ (quạt điện)."
PHY8_091,Tại sao chim thường hay đứng xù lông vào mùa đông?,"A. Để nhìn to hơn; B. Để giữ lớp không khí giữa các lông, không khí dẫn nhiệt kém giúp giữ ấm; C. Để khoe lông đẹp; D. Để hứng nắng tốt hơn",B,Chương 6,Bài 27: Truyền nhiệt,Các hình thức truyền nhiệt,Vận dụng,SBT-Tr75,Lông xù giữ lại một lớp không khí dày. Không khí dẫn nhiệt rất kém nên nhiệt cơ thể không bị thoát ra ngoài.,Không khí là chất dẫn nhiệt kém nhất. Hãy tận dụng nó để giữ ấm (như mặc nhiều áo mỏng).
PHY8_092,"Khi một vật nhiễm điện dương tiếp xúc với vật nhiễm điện âm, chúng sẽ?",A. Đẩy nhau; B. Hút nhau; C. Trung hòa về điện; D. B hoặc C tùy mức độ nhiễm điện,D,Chương 4,Bài 20: Hiện tượng nhiễm điện,Hiện tượng nhiễm điện,Vận dụng cao,Tự biên,"Chúng hút nhau do khác loại, và sau đó có thể trung hòa điện tích tùy vào độ lớn của chúng.","Nhớ nguyên tắc tương tác điện: Khác loại thì hút, cùng loại thì đẩy."
PHY8_093,Dụng cụ dùng để đo cường độ dòng điện (kiến thức mở rộng lớp 8) là?,A. Vôn kế; B. Ampe kế; C. Nhiệt kế; D. Lực kế,B,Chương 4,Bài 21: Dòng điện,Dòng điện & Nguồn điện,Nhận biết,SGK-Tr93,"Ampe kế là dụng cụ chuyên dụng, ký hiệu là (A) trong sơ đồ mạch điện.",Tránh nhầm với Vôn kế (đo hiệu điện thế) hay Nhiệt kế (đo nhiệt độ).
PHY8_094,Một cốc chứa 200ml nước ở 25∘C. Đun nóng cốc nước lên 50∘C. Nội năng của nước?,A. Tăng thêm; B. Giảm đi; C. Không đổi; D. Bằng không,A,Chương 6,Bài 26: Năng lượng nhiệt,Nhiệt năng & Nội năng,Thông hiểu,Tự biên,"Nhiệt độ tăng dẫn đến động năng phân tử tăng, làm tổng nội năng tăng theo.",Nhớ quy luật: Nhiệt độ tăng thì nội năng tăng.
PHY8_095,Hiện tượng khúc xạ ánh sáng (khi nhìn ống hút trong cốc nước thấy bị gãy) có liên quan đến khối lượng riêng không?,"A. Có, vì chiết suất phụ thuộc mật độ chất; B. Không liên quan; C. Chỉ liên quan đến màu sắc; D. Có, vì nước nặng hơn không khí",A,Chương 3,Liên môn,Khối lượng riêng,Vận dụng cao,Tự biên,"Các chất có mật độ (KLR) khác nhau thường có chiết suất khác nhau, làm ánh sáng bị gãy khúc.",Đây là kiến thức liên môn giữa tính chất vật chất và quang học.
PHY8_096,Tại sao khi đun nước bằng ấm nhôm nhanh sôi hơn ấm đất?,A. Ấm nhôm nhẹ hơn; B. Nhôm dẫn nhiệt tốt hơn đất; C. Ấm nhôm mỏng hơn; D. Nhôm phản xạ nhiệt tốt,B,Chương 6,Bài 27: Truyền nhiệt,Các hình thức truyền nhiệt,Thông hiểu,SGK-Tr116,Nhôm là kim loại dẫn nhiệt tốt hơn đất (phi kim) rất nhiều.,Liên hệ khả năng dẫn nhiệt của các chất: Rắn (kim loại) dẫn nhiệt tốt nhất.
PHY8_097,Lực đẩy Archimedes tác dụng lên một vật phụ thuộc vào?,A. Trọng lượng vật; B. Chất liệu vật; C. Thể tích phần vật chìm và trọng lượng riêng chất lỏng; D. Hình dạng vật,C,Chương 3,Bài 18: Lực đẩy Archimedes,Lực đẩy Archimedes,Nhận biết,SGK-Tr79,"Theo công thức FA​=d.V, nó chỉ phụ thuộc chất lỏng và phần thể tích chìm.",Đừng để hình dạng hay khối lượng của vật đánh lừa bạn khi tính lực đẩy.
PHY8_098,"Khi thả một viên đá vào cốc nước đầy, nước tràn ra. Thể tích nước tràn ra bằng?",A. Khối lượng viên đá; B. Thể tích viên đá; C. Diện tích viên đá; D. Trọng lượng viên đá,B,Chương 3,Bài 14: Thực hành KLR,Khối lượng riêng,Thông hiểu,SGK-Tr59,Vật rắn chiếm chỗ của nước. Thể tích nước tràn ra chính bằng thể tích của vật đó.,Đây là phương pháp đo thể tích vật rắn không quy tắc dùng bình tràn.
PHY8_099,Một người kéo một vật nặng dưới nước thấy nhẹ hơn khi kéo trên cạn là do?,A. Trọng lực giảm; B. Lực đẩy Archimedes cùng chiều lực kéo; C. Nước làm vật mềm ra; D. Ma sát dưới nước bằng không,B,Chương 3,Bài 18: Lực đẩy Archimedes,Lực đẩy Archimedes,Thông hiểu,SBT-Tr49,"Lực đẩy Archimedes cùng hướng với lực kéo (hướng lên), giúp trợ lực cho người kéo.",
PHY8_101,Ampe kế là dụng cụ dùng để đo đại lượng nào?,A. Hiệu điện thế; B. Cường độ dòng điện; C. Điện trở; D. Công suất,B,Chương 5,Bài 22: Mạch điện đơn giản,Thực hành điện,Nhận biết,SGK-Tr98,Ampe kế chuyên dụng để đo dòng điện.,Ghi nhớ ký hiệu (A) trên mặt dụng cụ để nhận biết nhanh chức năng.
PHY8_102,Đơn vị của hiệu điện thế là?,A. Ampe (A); B. Ôm (Ω); C. Vôn (V); D. Watt (W),C,Chương 5,Bài 22: Mạch điện đơn giản,Dòng điện & Nguồn điện,Nhận biết,SGK-Tr100,Vôn (V) là đơn vị đo hiệu điện thế.,Đừng nhầm lẫn giữa cường độ dòng điện (A) và hiệu điện thế (V).
PHY8_103,"Trong mạch điện, vôn kế được mắc như thế nào với thiết bị cần đo?",A. Mắc nối tiếp; B. Mắc song song; C. Mắc bất kì; D. Không cần mắc,B,Chương 5,Bài 22: Mạch điện đơn giản,Thực hành điện,Thông hiểu,SBT-Tr62,"Vôn kế có điện trở rất lớn, phải mắc song song để đo sự chênh lệch điện thế.",Ghi nhớ: Ampe kế nối tiếp - Vôn kế song song.
PHY8_104,"Khi mắc nối tiếp hai bóng đèn giống nhau vào nguồn 6V, hiệu điện thế trên mỗi đèn là?",A. 6V; B. 3V; C. 12V; D. 0V,B,Chương 5,Bài 23: Tác dụng dòng điện,Mạch điện,Vận dụng,Tự biên,"Trong mạch nối tiếp, U=U1​+U2​, do đèn giống nhau nên U1​=U2​=3V.",Học thuộc tính chất mạch nối tiếp: Tổng các hiệu điện thế thành phần bằng hiệu điện thế toàn mạch.
PHY8_105,Tác dụng nhiệt của dòng điện được ứng dụng trong thiết bị nào?,A. Chuông điện; B. Máy bơm nước; C. Nồi cơm điện; D. Loa phát thanh,C,Chương 5,Bài 23: Tác dụng dòng điện,Các tác dụng của dòng điện,Nhận biết,SGK-Tr105,Nồi cơm điện biến đổi điện năng thành nhiệt năng.,"Tìm các thiết bị tỏa ra hơi nóng trong nhà (máy sấy, bàn là, bếp điện) để ghi nhớ tác dụng nhiệt."
PHY8_106,Cầu chì có tác dụng gì trong mạch điện?,A. Tăng hiệu điện thế; B. Đo dòng điện; C. Ngắt mạch khi dòng điện quá tải; D. Làm đẹp,C,Chương 5,Bài 25: An toàn điện,Thực hành điện,Nhận biết,SGK-Tr110,Cầu chì bảo vệ mạch khi xảy ra chập cháy hoặc quá tải.,"Quan sát cầu chì hoặc aptomat trong gia đình và đọc mục ""An toàn điện"" trang 110 SGK."
PHY8_107,"Số vôn ghi trên mỗi nguồn điện (ví dụ Pin 1,5V) có ý nghĩa gì?",A. Giá trị hiệu điện thế giữa hai cực; B. Cường độ dòng điện; C. Công suất nguồn; D. Thời gian sử dụng,A,Chương 5,Bài 22: Mạch điện,Dòng điện & Nguồn điện,Thông hiểu,SGK-Tr100,Đó là giá trị định mức của nguồn khi chưa mắc vào mạch.,"Phân biệt ""Số vôn của nguồn"" (khả năng cung cấp) và ""Số vôn thực tế"" (khi đang hoạt động)."
PHY8_108,"Để đo cường độ dòng điện qua đèn, ta mắc Ampe kế nối tiếp với đèn sao cho?",A. Chốt (+) về phía cực dương nguồn; B. Chốt (-) về phía cực dương; C. Mắc ngược lại; D. Sao cũng được,A,Chương 5,Bài 22: Mạch điện,Thực hành điện,Thông hiểu,SBT-Tr63,Dòng điện đi vào chốt (+) và đi ra chốt (-) của ampe kế.,"Luôn kiểm tra màu sắc chốt (Đỏ là +, Đen là -) trước khi mắc."
PHY8_109,Tác dụng hóa học của dòng điện được ứng dụng để?,A. Thắp sáng; B. Chế tạo nam châm điện; C. Mạ điện; D. Đun nước,C,Chương 5,Bài 23: Tác dụng dòng điện,Các tác dụng của dòng điện,Nhận biết,SGK-Tr106,"Mạ vàng, bạc dựa trên hiện tượng điện phân chất lỏng.",Xem video về quá trình mạ điện để thấy sự dịch chuyển của các ion kim loại.
PHY8_110,Tại sao khi sửa chữa điện ta nên đứng trên ghế gỗ khô hoặc thảm cao su?,"A. Để cao hơn; B. Để cách điện với đất, tránh dòng điện chạy qua người; C. Để êm chân; D. Ghế gỗ dẫn điện tốt",B,Chương 5,Bài 25: An toàn điện,Thực hành điện,Vận dụng,SGK-Tr111,"Gỗ khô và cao su là vật cách điện, ngăn dòng điện tạo thành mạch kín qua người.","Ghi nhớ danh sách vật cách điện: Cao su, gỗ khô, nhựa, thủy tinh."
PHY8_111,Cường độ dòng điện chạy qua các thiết bị mắc nối tiếp có đặc điểm?,A. Bằng nhau; B. Cộng lại; C. Tỉ lệ thuận với điện trở; D. Luôn bằng 0,A,Chương 5,Bài 22: Mạch điện,Mạch điện,Nhận biết,SGK-Tr99,Trong mạch nối tiếp: I=I1​=I2​.,"Hãy tưởng tượng dòng điện như dòng nước trong một ống duy nhất, vận tốc nước là như nhau tại mọi điểm."
PHY8_112,Nếu hiệu điện thế giữa hai đầu bóng đèn tăng lên thì cường độ dòng điện qua đèn sẽ?,A. Giảm đi; B. Tăng lên; C. Không đổi; D. Lúc tăng lúc giảm,B,Chương 5,Bài 22: Mạch điện,Mạch điện,Thông hiểu,Tự biên,I tỉ lệ thuận với U khi điện trở không đổi.,Hãy nhớ: Đẩy càng mạnh (U tăng) thì dòng chảy càng nhanh (I tăng).
PHY8_113,Cơ thể người có dẫn điện không?,A. Không dẫn điện; B. Dẫn điện rất tốt; C. Là vật cách điện; D. Chỉ dẫn điện khi khô ráo,B,Chương 5,Bài 25: An toàn điện,Thực hành điện,Nhận biết,SGK-Tr110,Cơ thể người chứa nhiều nước và muối khoáng nên dẫn điện.,Luôn giữ tay khô ráo khi tiếp xúc với phích cắm điện vì nước làm giảm điện trở cơ thể.
PHY8_114,Thiết bị nào hoạt động dựa trên tác dụng từ của dòng điện?,A. Bếp điện; B. Đèn LED; C. Chuông điện; D. Pin điện hóa,C,Chương 5,Bài 23: Tác dụng dòng điện,Các tác dụng của dòng điện,Thông hiểu,SBT-Tr65,Chuông điện sử dụng nam châm điện để tạo lực hút cơ học.,Thử làm một nam châm điện đơn giản bằng đinh sắt và dây đồng để hiểu tác dụng từ.
PHY8_115,"Khi dùng ampe kế đo dòng điện 0,2A, ta nên chọn thang đo nào để kết quả chính xác nhất?",A. Thang 10A; B. Thang 5A; C. Thang 500mA; D. Thang 100mA,C,Chương 5,Bài 22: Mạch điện,Thực hành điện,Vận dụng,Tự biên,Thang đo gần nhất và lớn hơn giá trị cần đo sẽ cho độ chia nhỏ nhất chính xác.,Luôn chọn thang đo có giá trị lớn hơn nhưng gần nhất với giá trị cần đo. Đừng chọn thang quá lớn (sai số cao).
PHY8_116,Tại sao không được tự ý chạm vào mạng điện dân dụng 220V?,"A. Vì hiệu điện thế cao gây dòng điện lớn qua người, nguy hiểm tính mạng; B. Vì tốn điện; C. Vì làm hỏng dây; D. Vì dây nóng",A,Chương 5,Bài 25: An toàn điện,Thực hành điện,Thông hiểu,SGK-Tr111,U=220V vượt xa ngưỡng an toàn (40V) của con người.,Ngưỡng điện áp an toàn cho người thường dưới 40V. Luôn tắt nguồn/cầu dao trước khi kiểm tra điện.
PHY8_117,"Trong sơ đồ mạch điện, ký hiệu một vòng tròn có chữ X bên trong là?",A. Điện trở; B. Nguồn điện; C. Bóng đèn; D. Công tắc,C,Chương 5,Bài 22: Mạch điện,Mạch điện,Nhận biết,SGK-Tr98,Đây là ký hiệu quốc tế của bóng đèn sợi đốt.,Học thuộc bảng ký hiệu tại Bài 22 SGK trang 98. Đừng nhầm với ký hiệu Điện trở (hình chữ nhật).
